symbol,close,ema20,ema50,ema200,ema_stack,pct_from_52w,near_52w,vol_ratio,vol_contracted,atr_ratio,atr_contracted,nr7,inside_bar,nr7_ib,rs_score,entry_trigger,stop_loss,score
CHENNPETRO,1076.2,1056.28,1004.52,872.91,True,7.2,True,0.38,True,0.62,True,False,True,False,28.89,1095.99,1063.14,5
AUBANK,1032.4,1004.69,978.71,890.05,True,4.37,True,0.43,True,0.67,True,False,False,False,22.62,1042.04,1018.28,5
CUMMINSIND,5403.0,5164.51,4920.04,4310.15,True,0.39,True,0.38,True,0.63,True,False,False,False,21.07,5429.42,5312.18,5
EMCURE,1664.8,1644.06,1584.21,1434.26,True,9.03,True,1.52,False,1.27,False,True,True,True,20.87,1690.49,1629.17,5
GPIL,304.35,296.07,282.81,252.19,True,2.69,True,0.55,True,0.64,True,False,True,False,15.49,306.56,300.95,5
GRAPHITE,728.55,702.48,675.11,607.51,True,4.14,True,0.42,True,0.68,True,False,False,False,14.79,734.63,713.29,5
ZYDUSWELL,503.75,494.36,468.03,433.88,True,8.81,True,0.08,True,0.54,True,False,False,False,7.99,520.52,500.9,5
SUNPHARMA,1834.4,1756.84,1739.4,1711.68,True,1.26,True,0.89,False,0.81,False,True,True,True,6.98,1858.96,1824.47,5
BEL,439.45,438.19,435.85,409.27,True,7.18,True,0.57,True,0.65,True,False,False,False,5.69,441.44,433.07,5
TATAPOWER,439.25,432.38,412.12,390.48,True,5.52,True,0.51,True,0.61,True,False,False,False,-0.88,446.45,437.76,5
NTPCGREEN,109.26,108.35,102.59,98.32,True,8.91,True,0.36,True,0.62,True,False,True,False,-1.47,110.01,107.41,5
GALLANTT,866.5,812.61,715.28,601.78,True,8.6,True,0.15,True,0.57,True,False,False,False,-2.01,882.83,846.85,5
MCX,3042.6,2846.3,2675.49,2173.03,True,0.5,True,0.5,True,0.98,False,False,False,False,58.9,3061.06,2959.54,4
KIRLOSENG,1727.9,1638.55,1517.25,1216.45,True,2.1,True,0.56,True,0.75,False,False,False,False,52.46,1766.76,1708.59,4
NATCOPHARM,1155.2,1093.58,1034.92,929.83,True,1.63,True,0.36,True,0.81,False,False,False,False,34.67,1175.57,1150.35,4
HINDALCO,1055.7,1026.22,983.15,870.03,True,2.25,True,0.53,True,0.77,False,False,False,False,24.62,1061.96,1035.56,4
ABB,7188.0,7070.27,6610.85,5801.3,True,7.74,True,0.55,True,0.77,False,False,False,False,20.58,7286.78,6993.0,4
AIAENG,4005.5,3909.57,3841.48,3646.17,True,4.77,True,0.3,True,0.94,False,False,False,False,20.17,4033.03,3916.18,4
SAIL,187.28,178.28,167.8,146.9,True,1.69,True,0.53,True,0.71,False,False,True,False,19.05,190.44,185.71,4
TATASTEEL,217.09,210.46,204.25,184.88,True,0.96,True,0.56,True,0.75,False,False,False,False,18.28,219.42,215.53,4
CUB,270.85,265.39,263.42,247.21,True,16.43,False,0.67,False,0.84,False,True,True,True,16.93,274.17,268.33,4
TORNTPOWER,1712.5,1652.53,1551.15,1411.85,True,6.12,True,0.42,True,0.71,False,False,False,False,16.28,1763.66,1705.19,4
ANGELONE,322.6,303.11,279.17,254.68,True,2.31,True,0.41,True,0.73,False,False,False,False,15.06,325.02,315.23,4
TORNTPHARM,4362.7,4220.57,4181.99,3873.98,True,2.68,True,0.44,True,0.91,False,False,True,False,14.35,4410.11,4342.15,4
