symbol,close,ema20,ema50,ema200,ema_stack,pct_from_52w,near_52w,vol_ratio,vol_contracted,atr_ratio,atr_contracted,nr7,inside_bar,nr7_ib,rs_rank,daily_rsi,weekly_rsi,rsi_alert,entry_trigger,stop_loss,score
BHEL,416.75,397.48,355.06,290.75,True,1.92,True,0.56,True,0.52,True,False,False,False,97,69.3,79.0,⚠️ W RSI>75,425.32,412.64,7
DATAPATTNS,4043.1,3986.07,3746.09,3107.35,True,6.04,True,0.54,True,0.64,True,False,False,False,90,54.8,66.9,,4253.25,4005.99,7
MAHABANK,79.27,79.22,75.82,65.28,True,7.72,True,0.4,True,0.65,True,False,False,False,86,52.8,68.6,,80.78,78.32,7
SCHNEIDER,1308.8,1290.74,1163.21,922.29,True,7.69,True,1.62,False,0.75,False,True,False,False,97,55.7,73.8,,1310.11,1307.49,6
IDEA,13.99,12.88,11.58,10.07,True,3.12,True,1.14,False,0.51,True,False,False,False,96,80.2,72.9,⚠️ D RSI>80,14.45,13.86,6
SAIL,204.37,195.07,181.89,154.63,True,2.54,True,0.82,False,0.68,True,False,False,False,93,65.2,73.2,,207.71,202.97,6
NEULANDLAB,17088.0,16493.91,15515.18,14549.99,True,13.47,True,0.65,False,0.6,True,False,False,False,92,62.9,60.4,,17187.17,16658.32,6
CHENNPETRO,1058.2,1034.99,1015.39,898.71,True,8.75,True,0.22,True,0.76,False,False,False,False,90,55.7,57.5,,1071.07,1043.96,6
CRAFTSMAN,9074.0,8482.09,8048.73,7211.13,True,6.82,True,0.35,True,0.72,False,False,False,False,89,74.1,69.6,,9268.26,8739.75,6
J&KBANK,140.36,135.88,129.18,114.02,True,3.2,True,0.51,True,0.71,False,False,False,False,89,58.4,69.8,,144.5,139.36,6
ABSLAMC,1064.0,1030.7,1001.8,880.33,True,5.3,True,0.47,True,0.99,False,False,False,False,88,57.0,60.8,,1090.59,1024.07,6
JINDALSAW,247.09,229.08,218.08,202.66,True,4.24,True,0.39,True,1.24,False,False,False,False,87,65.6,59.4,,251.95,239.94,6
ABCAPITAL,363.3,355.48,346.96,321.16,True,3.36,True,0.68,False,0.52,True,False,False,False,86,58.9,64.2,,370.17,360.44,6
BHARATFORG,1957.2,1912.03,1852.68,1584.79,True,4.25,True,0.83,False,0.58,True,False,False,False,85,60.2,69.9,,1969.77,1918.08,6
ZYDUSWELL,507.05,495.79,482.36,445.15,True,8.21,True,0.1,True,0.76,False,False,False,False,85,56.4,58.0,,512.51,479.82,6
MANAPPURAM,325.4,314.47,299.47,282.33,True,2.57,True,0.39,True,0.59,True,False,False,False,81,65.1,65.2,,332.58,323.18,6
ADANIPOWER,243.37,227.11,205.2,162.98,True,4.26,True,1.32,False,1.09,False,False,False,False,99,69.4,77.2,⚠️ W RSI>75,254.45,241.95,5
ATHERENERG,964.1,924.58,874.11,699.46,True,3.96,True,0.98,False,0.92,False,False,False,False,99,62.1,69.2,,1004.9,946.9,5
HFCL,179.94,148.12,121.68,89.84,True,4.83,True,1.4,False,1.15,False,False,False,False,99,82.3,83.1,⚠️ D+W OB,189.27,170.15,5
GVT&D,5148.6,4690.75,4345.55,3450.54,True,1.41,True,1.28,False,0.9,False,False,False,False,98,73.5,76.0,⚠️ W RSI>75,5227.32,4935.06,5
